,arquivo,recomendacoes
0,/arquivo2,"['Erro Médico', ' Cabimento', 'Ex-combatentes', 'RMI sem incidência de Teto Limitador', 'Benefício mínimo a partir da CF/88 (art. 201, § 2º CF/88)']"
0,/arquivo3,"['Cartão de Crédito', ' Cabimento', 'Sub-rogação de Vinculo', 'Efeitos']"
0,/arquivo8,"['Antecipação de Tutela / Tutela Específica', 'Imputação do Pagamento', 'Assembléia', 'Parcela Incontroversa']"
0,/arquivo10,"['Erro Médico', ' Cabimento', 'Ex-combatentes', 'RMI sem incidência de Teto Limitador', 'Benefício mínimo a partir da CF/88 (art. 201, § 2º CF/88)']"
0,/arquivo13,"['Antecipação de Tutela / Tutela Específica', 'Cartão de Crédito', 'Parcela Incontroversa', ' Cabimento']"
0,/arquivo14,"['Cartão de Crédito', ' Cabimento', 'Antecipação de Tutela / Tutela Específica', 'Assembléia']"
0,/arquivo15,"['Antecipação de Tutela / Tutela Específica', 'Cartão de Crédito', 'Parcela Incontroversa', 'Assistência Judiciária Gratuita']"
0,/arquivo18,"['Cartão de Crédito', 'Antecipação de Tutela / Tutela Específica', ' Cabimento', 'Assembléia']"
0,/arquivo19,"['Antecipação de Tutela / Tutela Específica', 'Cartão de Crédito', ' Cabimento', 'Assembléia']"
0,/arquivo20,"['Antecipação de Tutela / Tutela Específica', 'Cartão de Crédito', ' Cabimento']"
0,/arquivo21,"['Erro Médico', ' Cabimento', 'Ex-combatentes', 'RMI sem incidência de Teto Limitador']"
0,/arquivo24,"['Cartão de Crédito', 'Antecipação de Tutela / Tutela Específica', ' Cabimento', 'Provas em geral']"
0,/arquivo26,"['Capitalização / Anatocismo', 'Extinção', 'Seguro', 'Atos Unilaterais']"
0,/arquivo27,"['Antecipação de Tutela / Tutela Específica', 'Cartão de Crédito', ' Cabimento']"
0,/arquivo29,"['Cartão de Crédito', 'Antecipação de Tutela / Tutela Específica', ' Cabimento', 'Assembléia']"
0,/arquivo30,"['Cartão de Crédito', ' Cabimento', 'Antecipação de Tutela / Tutela Específica', 'Assembléia']"
0,/arquivo32,"['Cartão de Crédito', 'Antecipação de Tutela / Tutela Específica', ' Cabimento', 'Assembléia']"
0,/arquivo34,"['Cartão de Crédito', 'Cédula Hipotecária', 'Taxa SELIC', 'Acidente de Trabalho', 'Acidente de Trabalho']"
0,/arquivo35,"['Cartão de Crédito', 'Cédula Hipotecária', 'Taxa SELIC', 'Acidente de Trabalho', 'Acidente de Trabalho']"
0,/arquivo36,"[' Cabimento', 'Efeitos', 'Antecipação de Tutela / Tutela Específica']"
0,/arquivo38,"['Antecipação de Tutela / Tutela Específica', 'Cartão de Crédito', ' Cabimento']"
0,/arquivo39,"['Cartão de Crédito', 'Antecipação de Tutela / Tutela Específica', ' Cabimento', 'Caução']"
0,/arquivo40,"[' Cabimento', 'Cartão de Crédito', 'Efeitos']"
